City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
592,Praia Da Vitoria,PT,75.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
594,Tete,MZ,82.49,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
595,Silver City,US,86.68,clear sky,32.7701,-108.2803,Copper Manor Motel
596,Kailua,US,78.78,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
597,Mahibadhoo,MV,83.8,overcast clouds,3.7833,72.9667,Omadhoo Inn
599,Harper,LR,79.45,overcast clouds,4.375,-7.7169,Screensaver
601,Dawei,MM,78.01,overcast clouds,14.0833,98.2,Hotel Dawei
603,Uhlove,UA,76.57,broken clouds,44.8215,33.6045,Tavryda
604,Lusambo,CD,83.21,scattered clouds,-4.9667,23.45,
605,Marand,IR,86.34,clear sky,38.4329,45.7749,کوچه صفا
606,Labuhan,ID,79.05,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
607,Shelburne,CA,79.66,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
609,Saint Anthony,US,77.2,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
610,Lorengau,PG,80.62,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
611,Karaton,ID,78.96,few clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
615,Ishigaki,JP,82.22,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
616,Toba,JP,86.0,overcast clouds,34.4833,136.85,ホテル アルティア鳥羽
618,Vieste,IT,89.98,scattered clouds,41.8825,16.175,Hotel Falcone
620,Kewanee,US,85.35,overcast clouds,41.2456,-89.9248,AmericInn by Wyndham Kewanee
624,Ahuimanu,US,75.85,few clouds,21.4447,-157.8378,Paradise Bay Resort
625,Kamaishi,JP,76.62,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
626,Koindu,GN,76.95,moderate rain,8.4386,-10.3253,
628,Sorong,ID,77.83,overcast clouds,-0.8833,131.25,waigo splash hotel
629,Patiya,BD,77.36,broken clouds,22.2931,91.9762,R Village
638,Baraki Barak,AF,76.62,broken clouds,33.9675,68.9486,
643,Gotsu,JP,76.53,heavy intensity rain,35.0,132.2167,Yurusato
646,Somerset,US,84.4,overcast clouds,40.5668,-74.5496,Hilton Garden Inn Bridgewater
648,Nouakchott,MR,82.33,few clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
649,Piacabucu,BR,77.4,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
650,Rosetta,EG,80.94,clear sky,31.4044,30.4164,Green Valley
657,Pundaguitan,PH,80.44,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
